Date,Time Entered,Time Exited,bee_exit_datetime,datetime_ground_temp,ground_temperature_F,time_diff_secs,station,ws_datetime,tmpf,relh,skyc1,ws_time_diff_secs
2025-06-25,1:19,1:21,2025-06-25T13:21:00Z,2025-06-25T13:25:00Z,84,360,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,360
2025-06-25,1:12,1:24,2025-06-25T13:24:00Z,2025-06-25T13:25:00Z,84,180,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,180
2025-06-25,1:24,1:27,2025-06-25T13:27:00Z,2025-06-25T13:25:00Z,84,0,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,0
2025-06-25,12:49,1:31,2025-06-25T13:31:00Z,2025-06-25T13:35:00Z,86,240,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,240
2025-06-25,1:34,1:35,2025-06-25T13:35:00Z,2025-06-25T13:35:00Z,86,480,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,480
2025-06-25,12:35,1:38,2025-06-25T13:38:00Z,2025-06-25T13:35:00Z,86,660,SBA,2025-06-25T13:27:00Z,66,72.74,BKN,660
2025-06-25,1:37,1:41,2025-06-25T13:41:00Z,2025-06-25T13:45:00Z,86,720,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,720
2025-06-25,1:36,1:44,2025-06-25T13:44:00Z,2025-06-25T13:45:00Z,86,540,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,540
2025-06-25,1:43,1:45,2025-06-25T13:45:00Z,2025-06-25T13:45:00Z,86,480,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,480
2025-06-25,1:42,1:49,2025-06-25T13:49:00Z,2025-06-25T13:45:00Z,86,240,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,240
2025-06-25,1:48,1:52,2025-06-25T13:52:00Z,2025-06-25T13:55:00Z,87,60,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,60
2025-06-25,1:54,1:58,2025-06-25T13:58:00Z,2025-06-25T13:55:00Z,87,300,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,300
2025-06-25,1:59,2:09,2025-06-25T14:09:00Z,2025-06-25T14:05:00Z,87,960,SBA,2025-06-25T13:53:00Z,67,72.85,SCT,960
2025-06-26,N/A,11:59,2025-06-26T11:59:00Z,2025-06-26T11:55:00Z,77,360,SBA,2025-06-26T11:53:00Z,66,78.16,OVC,360
2025-06-26,N/A,12:01,2025-06-26T12:01:00Z,2025-06-26T12:05:00Z,77,480,SBA,2025-06-26T11:53:00Z,66,78.16,OVC,480
2025-06-26,N/A,12:09,2025-06-26T12:09:00Z,2025-06-26T12:05:00Z,77,960,SBA,2025-06-26T11:53:00Z,66,78.16,OVC,960
2025-06-26,11:50,12:13,2025-06-26T12:13:00Z,2025-06-26T12:15:00Z,78,1200,SBA,2025-06-26T11:53:00Z,66,78.16,OVC,1200
2025-06-26,12:04,12:17,2025-06-26T12:17:00Z,2025-06-26T12:15:00Z,78,1440,SBA,2025-06-26T11:53:00Z,66,78.16,OVC,1440
2025-06-26,N/A,12:36,2025-06-26T12:36:00Z,2025-06-26T12:35:00Z,82,1020,SBA,2025-06-26T12:53:00Z,67,75.5,OVC,1020
2025-06-26,N/A,12:49,2025-06-26T12:49:00Z,2025-06-26T12:45:00Z,82,240,SBA,2025-06-26T12:53:00Z,67,75.5,OVC,240
2025-06-26,N/A,1:02,2025-06-26T13:02:00Z,2025-06-26T13:05:00Z,82,540,SBA,2025-06-26T12:53:00Z,67,75.5,OVC,540
2025-06-26,N/A,1:05,2025-06-26T13:05:00Z,2025-06-26T13:05:00Z,82,720,SBA,2025-06-26T12:53:00Z,67,75.5,OVC,720
